FID,subcol,notes,perim,area,pa_ratio,SUM_AREA,MEAN,MEAN_1,MEAN_12,MEAN_12_13,NEAR_RANK,NEAR_RANK_1,MEAN_12_13_14
0,wb, ,81.7445984,87.9503021,0.9294420,16.871400833129883,251036.581597222220000,26.333333333333332,186.225565592447910,11.408073902130127,1,1,-16.184082031250000
1,b26,"merged, counted this partial",270.5939941,1324.6600342,0.2042740,3202.060058593750000,246409.177034198100000,27.704402515723270,177.369496759378680,12.594816390823269,,1,-29.390284124410378
2,b25, ,26.0655994,22.1588001,1.1763099,286.173381805419920,273219.781250000000000,38.750000000000000,230.941585540771480,6.195719122886658,1,1,-43.803844451904297
3,b24, ,85.9607010,216.1300049,0.3977260,10444.346900939941000,278094.119485294100000,53.843137254901961,209.478912951899500,2.835879678819694,1,1,-44.966421688304230
4,b23, ,244.2810059,938.5189819,0.2602830,4151.839843750000000,264708.085971615740000,46.139737991266372,173.843306395684780,7.764525544695458,1,1,-40.132751698056680
5,b12, ,84.6094971,161.8430023,0.5227890,406.006988525390620,266053.006578947360000,31.763157894736842,210.047676487972860,8.083384137404593,,1,-32.035914270501387
6,n10, ,57.0497017,70.7431030,0.8064340,,253555.834703947360000,0.000000000000000,248.648100200452290,21.168051769858913,,1,16.035053453947370
7,n28, ,38.4487000,25.2406006,1.5232900,,259122.825000000010000,6.200000000000000,239.446722412109380,14.855687522888184,,,23.238085937499999
8,c58, ,96.5752029,241.4779968,0.3999340,,277803.961334745750000,21.525423728813561,267.826470326569110,21.566022565809348,1,1,57.378840042372879
9,m27, ,32.0726013,47.5191002,0.6749410,145.513685271143910,262522.147727272710000,10.454545454545455,237.755371093750000,12.941549561240457,,,-10.322975852272727
10,c46, ,60.0834007,64.5150986,0.9313090,582.051994323730470,254351.127929687500000,8.500000000000000,215.997532844543460,13.152683734893799,1,1,37.687805175781250
11,c6, ,87.3765030,85.0048981,1.0279000,,261576.850142045440000,3.000000000000000,242.747229142622500,14.981841260736639,,,9.241255326704545
12,m28, ,57.4328995,80.6858978,0.7118090,289.545995712280270,262451.400781249980000,10.100000000000000,237.234361267089840,12.888206815719604,,,-8.616845703125000
13,m29, ,49.9878998,55.2020988,0.9055440,909.969054937362670,263281.549479166690000,14.250000000000000,233.322678883870450,11.768428405125936,,,-8.529052734375000
14,m25, ,27.7171993,36.0180016,0.7695380,,269254.239583333310000,23.777777777777779,237.914978027343750,9.778566254509819,,,-19.317057291666668
15,m23a, ,31.3302002,32.3485985,0.9685160,,273362.068749999980000,32.000000000000000,239.367800903320300,7.938889694213867,,,-18.175000000000001
16,m11, ,16.5737000,9.7281904,1.7036800,226.996173121035100,266877.531250000000000,35.000000000000000,206.491790771484370,7.298242092132568,,,-21.252929687500000
17,m22a, ,9.7237902,5.4099598,1.7973900,,271614.078125000000000,28.500000000000000,238.082824707031250,8.622315883636475,,,-21.480957031250000
18,m23, ,106.6790009,193.5260010,0.5512370,1060.215011596679700,271688.326086956540000,34.260869565217391,227.704289975373650,7.229237888170325,,,-20.364491338315219
19,m24, ,22.1793995,19.9820995,1.1099600,19.522600173950195,274645.515625000000000,25.250000000000000,252.962593078613280,10.391861200332642,,,-18.812255859375000
20,m21, ,66.8520966,122.0139999,0.5479060,,273351.637276785740000,29.714285714285715,242.805434090750570,8.627275262560163,,,-21.109898158482142
21,m16-22, ,49.5682983,100.4550018,0.4934360,,272160.440972222250000,35.000000000000000,228.609811288339130,7.064044175324617,,,-23.241210937500000
22,m12, ,120.9359970,181.8679962,0.6649690,13.105315566062927,271963.578506097550000,40.487804878048777,213.724210413490850,5.885532146546899,,,-23.792921112804876
23,c51, ,77.3182983,68.1303024,1.1348600,41.390838503837585,274597.607638888880000,26.833333333333332,242.887124803331180,9.315875689188639,,1,41.749565972222221
24,c38, ,47.6930008,54.0620995,0.8821890,1131.030759334564200,258476.968750000000000,3.692307692307693,233.215639554537260,14.241936757014347,1,1,22.866060697115383
25,c24, ,70.1667023,117.4950027,0.5971880,692.262092113494870,256561.802455357130000,4.392857142857143,228.831806727818080,14.042664596012660,,1,18.263881138392858
26,c37, ,41.2778015,52.0318985,0.7933170,0.187785997986794,252658.337740384620000,2.846153846153846,222.174655620868380,14.251986503601074,,1,17.395132211538460
27,p55, ,40.3227005,32.9704018,1.2230000,71.694396972656250,252047.294921875000000,4.250000000000000,219.142011642456050,14.045940876007080,1,1,19.993652343750000
28,m33-34-35, ,309.5260010,965.8859863,0.3204580,1525.843857724219600,256956.631959606980000,9.694323144104803,224.008023591020730,12.759447834897770,,,-4.703542917576419
29,m6a, ,46.0093002,67.1912003,0.6847510,,273647.375000000000000,26.764705882352942,248.749320535098800,9.669005954966826,,,-21.039751838235293
30,m5, ,106.5500031,153.6419983,0.6934940,,280822.829769736850000,45.026315789473685,249.021525332802210,5.338742726727536,,,-21.321443256578949
31,m4, ,49.6002998,78.4977036,0.6318700,,293792.239583333310000,62.047619047619051,294.070250011625720,6.484400919505528,,,-23.242327008928573
32,m1a, ,61.3404007,49.1786003,1.2473000,,249586.764423076940000,17.461538461538460,198.323873666616580,12.193327757028433,,,-30.188138961791992
33,m14, ,21.9650002,24.8206005,0.8849480,,265500.651041666690000,28.333333333333332,218.091255187988280,8.584140459696451,,,-26.065917968750000
34,m14a, ,66.4116974,97.0130005,0.6845650,,261329.771249999990000,27.079999999999998,207.947812500000000,9.206419639587402,,,-26.925585937499999
35,m38, ,87.4979019,205.0249939,0.4267680,,272871.912364130430000,25.152173913043477,250.161145749299440,10.261546321537184,,,-34.987836340199344
36,m36, ,42.0918999,50.5134010,0.8332820,,253730.686298076940000,9.923076923076923,220.066788893479550,12.783608950101412,,,-37.531742095947266
37,mis, ,67.7711029,143.1690063,0.4733660,9740.074058532714800,274437.356158088250000,42.823529411764703,217.423595316269830,7.124517037588007,,,-34.443847656250000
38,p63, ,62.3361015,106.8349991,0.5834820,240.958999633789060,245650.059267241390000,0.172413793103448,222.610474685142780,16.889511634563579,1,1,35.590618265086206
39,p42, ,104.9380035,150.1519928,0.6988790,10592.963905334473000,242454.423177083340000,1.500000000000000,204.976932101779510,15.431502209769356,,,28.247016059027779
40,p44-1,p44 split in two,47.0688019,54.8367996,0.8583440,,245414.316105769220000,1.538461538461539,210.609966571514430,14.962382243229793,,,14.011944110576923
41,p44-2,p44 split in two,72.6247025,171.3269958,0.4238960,31.946199417114258,243553.655078125010000,3.175000000000000,205.899174880981430,14.974945020675658,,,10.368969726562501
42,p22, ,31.1135998,40.5481987,0.7673240,,249440.928819444440000,0.000000000000000,224.914220174153660,16.462678803337944,1,1,62.120985243055557
43,p24, ,92.8778000,149.5010071,0.6212500,97.756298065185547,252611.312088815790000,0.000000000000000,230.735382080078130,16.600042368236341,1,1,65.784847861842110
44,p33, ,52.2156982,74.4999008,0.7008830,155.326717913150790,245996.846354166660000,2.055555555555555,208.944411383734800,15.052076922522652,,1,46.654730902777779
45,p39, ,41.3063011,53.3844986,0.7737510,,241210.941406250000000,0.083333333333333,205.426714579264310,16.023742119471233,,,42.064290364583336
46,p21, ,87.7604980,98.9235992,0.8871550,,258779.029947916660000,2.083333333333334,230.489494323730470,14.574948549270630,1,1,76.806844075520829
47,qr132, ,39.0139008,60.2571983,0.6474570,,252615.214583333320000,17.199999999999999,200.076951090494790,12.123681449890137,,,20.242903645833334
48,qr20, ,82.1378021,161.6069946,0.5082560,,271366.265625000000000,8.775000000000000,250.595943069458000,14.249669432640076,,1,74.373901367187500
49,s39, ,29.8806992,45.6757011,0.6541920,,293617.590625000010000,41.799999999999997,289.100827026367200,12.059801197052002,,1,47.117285156249999
50,s5, ,38.8278999,51.4757004,0.7542970,,286740.056250000020000,28.500000000000000,277.162158203124990,13.420585823059081,1,1,66.362890625000006
51,qr65, ,82.2023010,137.4530029,0.5980370,,297673.381249999980000,66.500000000000000,301.192720031738300,20.864148298899334,,,46.258626302083336
52,d22, ,44.1815987,33.1534996,1.3326401,,265338.668750000010000,21.600000000000001,218.920722961425780,10.077863693237305,1,1,74.019140625000006
53,d24-1, ,65.6980972,108.8610001,0.6035060,42336.066966295242000,269221.941249999970000,29.199999999999999,216.222355346679680,8.546680641174316,1,1,77.300468749999993
54,d24-2, ,26.7040997,26.3034992,1.0152299,,261478.540624999990000,29.000000000000000,194.289971923828120,9.613937568664550,1,1,77.369726562500006
55,d16, ,43.5969009,45.2103996,0.9643120,,259229.840625000010000,27.800000000000001,191.517292785644540,10.325224018096923,1,1,79.602636718750006
56,d11, ,10.3744001,4.7600098,2.1794801,,269279.328125000000000,52.000000000000000,158.692726135253910,7.478969097137451,1,1,92.910156250000000
57,d9, ,13.6197996,3.8247001,3.5610001,,265986.906250000000000,56.000000000000000,147.515472412109370,9.141685485839844,1,1,92.127929687500000
58,d35, ,57.5199013,36.1982994,1.5890200,,255120.930555555560000,11.555555555555555,209.903535630967890,12.827436765034994,1,1,88.174153645833329
59,d12, ,40.1501007,48.3171005,0.8309690,,247243.823317307690000,0.846153846153846,212.221373337965760,15.268049020033617,1,1,84.267352764423080
60,d47, ,60.0595016,61.0457993,0.9838440,,255763.817382812500000,6.562500000000000,221.502250671386720,13.455805897712708,1,1,69.192565917968750
61,hk1, ,102.6409988,171.6560059,0.5979450,,239926.183593750000000,0.000000000000000,237.743935012817390,20.848242282867432,,,-34.774715375900271
62,d1, ,308.7179871,971.1690063,0.3178830,799.869018554687500,258651.847921080510000,29.779661016949152,192.831515231374960,9.738138122073675,1,1,97.445283534163138
63,g58, ,11.2159996,4.9848900,2.2500000,,,,,,,1,
64,g23, ,21.3992996,12.5377998,1.7067800,,245450.875000000000000,56.500000000000000,142.135219573974610,14.732757091522217,,1,-13.302490234375000
65,g43, ,37.9169006,42.5167007,0.8918110,158.634002685546870,265813.278125000010000,29.300000000000001,214.644195556640620,8.434919548034667,,,3.240429687500000
66,f37, ,78.0318985,112.8970032,0.6911750,1501.164185762405400,268090.347355769250000,32.692307692307693,217.078315147986790,7.618748353077815,,,1.360764723557692
67,g35, ,252.5160065,312.4360046,0.8082170,697.342736244201660,271756.666373239420000,34.338028169014088,227.582144723811610,7.221163172117421,,,-5.644998899647887
68,f23, ,37.2798004,44.2521019,0.8424420,,264389.237499999990000,34.700000000000003,202.179866027832020,7.658273935317993,,1,-12.453808593750001
69,g32, ,33.4222984,40.4224014,0.8268260,78.681537508964539,272272.409374999990000,31.399999999999999,235.393150329589840,7.924310207366943,,,-8.163281250000001
70,f5, ,77.3960037,162.5659943,0.4760890,,228862.530868902450000,6.146341463414634,233.967402016244280,13.706934696290551,,1,-38.629032135009766
71,fbeach, ,153.5789948,558.6970215,0.2748880,3109.812561035156200,256628.526022518370000,50.147058823529413,178.288138578919810,7.620434008100453,1,1,-45.832127374761242
72,g2, ,61.5405998,96.1765976,0.6398710,,244483.265625000000000,28.304347826086957,174.817533410113780,12.977963903675908,,,-33.144361413043477
73,d70, ,32.9864998,26.4487000,1.2471800,,253113.281250000000000,14.800000000000001,203.882473754882820,12.348844718933105,,1,54.950585937500001
74,b33, ,36.2706985,42.6749992,0.8499300,858.536010742187500,268759.336805555560000,42.777777777777779,194.706476847330720,6.056713051266140,1,1,-36.595080481635200
75,s2-4, ,387.8120117,521.0910034,0.7442310,360.350194931030270,286161.905048076940000,28.830769230769231,276.922886305588920,13.442070733583890,1,1,70.381790865384616
76,p6, ,483.9960022,901.0419922,0.5371520,2579.655833244323700,262656.440723094160000,11.170403587443946,225.412900231878870,12.515796554462792,1,1,89.885483814461878
77,l17, ,78.6502991,178.8150024,0.4398410,0.177093997597694,248459.551736111110000,26.244444444444444,182.897207980685780,11.932958136664496,,,-35.625836520724825
78,l23-1, ,11.7477999,5.1995902,2.2593701,126.735000610351560,237305.453125000000000,0.000000000000000,203.736038208007810,15.927158355712891,,,-34.222656250000000
79,t5, ,87.1050034,133.5809937,0.6520740,,270303.417968750000000,23.375000000000000,242.447348117828370,10.164350092411041,1,1,-5.993469238281250
